
ACTIVE VALIDATORS
account, handle, balance
0x52d79701968e2ab8d34ddd77ad11e87f, luckyduder,15950260021045
0x8186f4d8fdd09dfe02963b0b4c385105, ashiix,37891200490902
0xc88f9adcb4c0678b9475e79355c53bb4, nuke,859556904859
0x754903132f75c0b1f5e5be29fb0ca6cd, bethose,84860600245991
0x55b6ba3408f670418371f500b9f431dc0e867f09974812b32c6d3a614d35cca6, wuya51,1000436678159
0x9a01290c3ab972597a71194428318cd87361fe41ce9a451eebfe8d3748377a2e, coin111,1447752476663
0x25c39d475e12cd20623b75d33046baa442b8115c80fea816bf0198954ae9e341, texaseduc8r,582819918044
0x9499c45e34ef05a9afd295779d989cbafaf973dbcdd35a9ae6be5fa8afa9861f, barmaley1,1448695773944
0x9a710919b1a1e67eda335269c0085c91, sirouk,74453826508943
0xb8ba6c084fa504add5f23ae51e41f23d, dmski1,36169471247840
0x32f24e0488a4e189d38fccd1f2a94b53, alanyoon,34146257021961
0xb32e1c7b70c711d7992fee1219ecaa50dfd2cfe9283b68e2ae6aff1c990f80dd, blackgrouse,591352687701
0x95c872c5519a0e165886b4e752f23b545805a218e50f0e846f5976ea3b026ae5, bbk8530,1314241504580
0x9763a662ac509b8e6aae78aa628cbf46569a46e6e94b080c35e44d28368ee0ea, zoz,1145206513822
0x6122b508960bbdbbf28f38bc035c393ecf7cff54c3ce8282c735940eedd807a, qusuy,561127376901
0x86554d60d94378e32ee3ec053d8e32c3f1b37725a73a95f084381edfc1e76354, m0ot,2086870853674
0xf48513d19e39488b20ff63a798affa544d45db9aca5e544fdd2e8b6e4a4c017e, slappymcslapper,458889678348
0x2fa553d9ab2d5e0bf39bf9147b61a5d0fd78ebe7256ace2c9470020fbbea95a0, johnpaul,511371916780
0x77f2650cd59335a8b03f875b43376f26, hemulin,1170640063408
0x16b3da73e53d17bfeb6b542f1ac33444, judasdaygame,16040740755672
0xca6bf512e1ca96ed2a6ef5b74bb8ba5daca689e8b314c4414440ebeb5b82fdf2, aaronwhite,966853362255
0xd19a9e5149ab0038f3563caf6b3e7063dca5bfe9dc37cb7f7194806ceaa4f5c4, 0xslipk,359106298378

PENDING VALIDATORS
0x71e5be86b41516743ac8594bc90ee2fc, mrrobot,43595756882831
0x949ea6affb7a4b43f157158319b5d51c, veight,29134002475783
0x13a65b0c9500848a6e8cc9a8c45e2c0750f6860fe9aad7e956e27de10956dddd, c64michael,1227278756562
0x56641e58aba97fa6b7ea833f83444392, abed,119172501892532
0xaa7b724a51a8bd8e55208fef969209b3, 0xslipk,23276946756342
0x4edef1a648ce28eaa71e3d6eb205a0f9c668bb7f025e6d3de4e133657fdd093a, andersph,1229012440264
0x2023c65e5323feb2671eb690d5649ae3, theoneid,64722958746481
0x4d250de8388d8232f702ffc6de74df626325cbd24ad416350ab2a4e30b2c92c6, saturn,1289120241865
0x9de57cf5f154889bd4bdfb286fe1aedc7f58e7640f14dbe5f12cfff43255be48, zeroooooooool,1229012385265
0xe77ddb76c9afcb3d5511e46cbc89023d, nourspace,92703309669968
0xb1ebce2a604d0d277ff1b5f9ea7a4e8a8370c8f487edea5d7df85448b828cfd6, johnpaul,454022811
0xcf18bf38fe71080c3c199868ed167693, kalvinen,12815139234947
0x9909f6edb2a0684adecd7b448b989e4f, pithecus,64373330226344
0x1fffe941a07d96a181a30934c9dbece13f1f6ae7df3af40203ecd31dba80ecd9, dboreham,1228966132865
0xb5b5ba58b8e9916fe449d1f989383834, ricoflan,86972894316115
0x78233906ce0643d1852a7d4899a7666f, east agile,47749663141384
0xbe3a60be9e90510b821ad8abab51d0c11720c4fa7e76d6d06031a836627e5d6e, wiri,198966
0xb3848a1353f194692551661fe43933b4af80f92e75e9ecc2d2b08e4ca970e0d8, pedr00,808225228566
